n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c
1977.5,2159.2,2304.1,2821.3,3025.2,3201.5,4156.9,4357.6,4499.9,5215.9,5405.9,5532.2,5741.9,5895,6058,NaN,NaN,6396.8,NaN,6594.3,6747.8,6925.2,7146.5,7277.2,7391.8,7583.9,7736.6,7894,NaN,NaN,8228.7,NaN,8425.9,8951,9116.5,9231.7,9415.9,9572.9,9743.9,9962.7,10096,10208,10409,10554,10665,10851,11008,11167,NaN,NaN,11508,NaN,11707,11868,12049,12270,12396,12509,12698,NaN,12897,13059,13228,13454,13583,13701,13885,NaN,14088
2042.6,2220.3,2409.2,2893.8,3087.7,3311,4225.7,4421.8,4610.1,5286.5,5478.3,5652.6,5841,5996.2,NaN,NaN,6315.2,NaN,6545.1,6698.3,6845.7,7106.3,7220,7356.7,7516.7,7684.5,7833.8,NaN,NaN,8157.8,NaN,8378.2,8512.9,9024.3,9193.8,9359.7,9525.2,9674.4,9925.3,10038,10172,10338,10482,10629,10789,10952,11110,NaN,NaN,11429,NaN,11660,11809,11968,12234,12356,12473,12635,NaN,12847,13006,13162,13408,13530,13657,13827,NaN,14038,14198
