n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,n,n,e,n,n,e,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p
1440.4,1585.8,1766.8,1977.2,2146.9,2400,2571.5,2698,2935.7,3137.2,3259.4,3469.5,3621.7,3771.8,NaN,NaN,4109.8,4415,4568.7,4684.5,4908.4,5076.1,5189.3,5374.6,5527.2,6144.1,6291.8,6405.4,6589.2,6740.3,6902.2,NaN,NaN,7229.8,NaN,7422.3,7578.5,7746.4,7958.7,8082.4,8195.7,8404.9,8544.7,8653,8864.5,9014.7,9127.5,9312.3,9464.2,9626.9,NaN,NaN
1493.7,1658.2,1816.6,2048,2203.4,2469.6,2638.4,2806.3,3003.4,3202.9,3372.3,3572.8,3714.4,NaN,NaN,4025.3,4257.8,4486.5,4648.8,4804.4,4979.7,5150.8,5306.5,5475.1,5623.5,6219.3,6370.6,6528.1,6694.1,6835.9,NaN,NaN,7152.4,NaN,7373.9,7526.8,7674.2,7918,8030.3,8159.6,8315.9,8472.8,8619.6,8774.3,8934.3,9091.6,9248.2,9414.9,9563.4,NaN,NaN,9879.8
