n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x
13035,13194,13336,13556,13827,13990,14104,14281,14427,14579,NaN,NaN,14903,NaN,15094,15243,15422,15634,15757,15867,16054,16204,16362,NaN,NaN,16675,NaN,16864,17016,17180,17391,17511,17621,17819,17953,18062,18234,18384
13150,13263,13443,13625,13897,14062,14221,14374,14523,NaN,NaN,14831,NaN,15049,15191,15342,15598,15706,15831,15984,16151,16311,NaN,NaN,16614,NaN,16820,16967,17110,17352,17459,17583,17744,17888,18026,18181,18336,18477
