n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x
1971.6,2149.3,2306.8,2589.8,2769.1,2890.6,3119.4,3306.5,3427.5,3614.8,3766.8,3922.4,NaN,NaN,4264.7,NaN,4460.9,4610.2,4791,5008.5,5133.8,5249.1,5447.6,5587.4,5706.8,5896.2,6046.9,6210,NaN,NaN,6537.3,NaN,6736.2,6889.8,7065.6,7277.6,7400.2,7514.2,7714.8,7855.3,7965.8,8175,8324.1,8434.5,8615.8,8768.2,8939.9,NaN,NaN,9375,9524.3,9640.7,9854.4,10013,10127,10312,10465
2034.3,2208.1,2412.5,2657.5,2837.3,2996.8,3191.9,3378.3,3543.6,3712.3,3859.9,NaN,NaN,4176.1,NaN,4413.4,4555.9,4704.9,4966.8,5080.6,5208,5370,5528,5664.7,5821.1,6001,6145.4,NaN,NaN,6461.2,NaN,6684.3,6837.5,6987.1,7238.6,7369.2,7476.7,7633.6,7787.2,7932.2,8087.5,8247.5,8398.8,8553.5,8723.4,8868.3,NaN,NaN,9187.9,9449,9602.4,9762.2,9924.5,10091,10248,10414,10564
