n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,a,b,c,x
1866.3,2069.9,2442.9,2622.3,2781.3,3056.9,3231.2,3370,4008.5,4170.8,4292.3,4505.8,4671.1,4784.1,4983.9,5134.6,5285.1,NaN,NaN,5620,NaN,5814.5,5967.8,6130.7,6345.8,6469.7,6581.2,6766.9,6918,7079,NaN,NaN,7423.8,NaN,7622.4,7774.9,7958.7,8179.4,8305,8418.7,8633.4,8777.4,9155,9300,9411,9586.1,9737.6,9890.6,NaN,NaN,10213,NaN,10408,10565,10732,10946,11071,11181,11383,11530,11642,11822,11972,12136,NaN,NaN,12473,NaN,12667,12823,12985,13204,13327,13438,13623,NaN,13819,13974,14143,14364,14492,14605,14810,14958,15071,15227,15531,15673,15785,16036,16180,16293,16477,NaN,16671,16827,16983,17205,17337,17451,17628,NaN,17825,17982,18168,NaN,NaN,18532,18679,18796,18999,19156,19271,19484,19639,19754,19941,NaN,20140,20299
1935.5,2121.9,2490.6,2694.4,2850.2,3127.2,3286.3,3477.5,4130.4,4239.5,4409.8,4579.3,4743.6,4904.4,5085.6,5232.4,NaN,NaN,5543.5,NaN,5765.3,5914.6,6064.5,6313.2,6430.2,6544.5,6702.6,6884.5,7012.9,NaN,NaN,7331.3,NaN,7573.5,7720.1,7873.4,8140.1,8250.8,8378.5,8539.6,8706.1,8826.7,9231.3,9378,9536.4,9687.5,9834.3,NaN,NaN,10145,NaN,10363,10505,10663,10913,11041,11150,11304,11456,11607,11765,11922,12071,NaN,NaN,12388,NaN,12622,12772,12917,13165,13279,13406,13561,NaN,13769,13920,14072,14323,14439,14571,14725,14881,15036,15186,15361,15601,15749,15904,16109,16253,16415,NaN,16623,16771,16923,17162,17278,17411,17570,NaN,17774,17924,18081,NaN,NaN,18424,18602,18757,18918,19083,19234,19397,19558,19716,19881,NaN,20091,20242,20398
