n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x
1976.2,2148,2284.7,2541.5,2714.9,2839.1,3046.2,3197.5,3356.1,NaN,NaN,3711.4,NaN,3905.2,4055.4,4212.3,4436.8,4568.3,4681.2,4886.4,5030.1,5142.7,5326.4,5478.5,5642.2,NaN,NaN,5969.4,NaN,6164.4,6319.9,6478.6,6698.1,6825.2,6936.2,7147.2,7295.7,7409.8,7592.5,7745.9,7906.8,NaN,NaN,8245.7,NaN,8440.7,8597.9,8769.1,8988.7,9116.6,9230.6,9425.4,9573.7,9739.4,NaN,NaN,10085,10221,10334,10554,10703,10818,10999,11153,11320,NaN,NaN,11654,NaN,11848,12008,12179,12399,12528,12637,12828,NaN,13025,13185,13385,NaN,NaN,13751,13913,14020,14229,14434,14545,14731,NaN,14929,15091,15411,15551,15664,15855,NaN,16064,16223,16412,16638,16768,16882,17066,NaN,17263,17425,17598,17818,17944,18065,18251,NaN,18450,18610
2041.6,2209.4,2393,2612.6,2786.5,2957.8,3144.8,3281.5,NaN,NaN,3644.8,NaN,3860.1,4006.2,4148.3,4392.9,4513.2,4646.3,4801,4961.4,5109.5,5263.8,5425.1,5578.4,NaN,NaN,5901,NaN,6117.5,6266.1,6422,6657.2,6772.6,6902.2,7060.9,7218.2,7370.5,7531.9,7697.6,7846.8,NaN,NaN,8168.8,NaN,8391.8,8543.6,8697.2,8949.9,9080.1,9194.7,9355.2,9521.2,9672.9,NaN,NaN,9992.7,10155,10301,10457,10631,10777,10940,11101,11252,NaN,NaN,11576,NaN,11800,11954,12109,12359,12476,12605,12765,NaN,12979,13139,13286,NaN,NaN,13645,13821,13989,14142,14303,14509,14669,NaN,14880,15033,15192,15487,15630,15785,NaN,16014,16168,16321,16593,16709,16845,17004,NaN,17213,17366,17526,17781,17892,18024,18189,NaN,18398,18559,18708
