n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n
1978.4,2153.2,2274.1,2524.5,2711.5,2831.7,3032.6,3183.5,3395.9,NaN,NaN,3757.9,NaN,3949.5,4104.5,4389.2,4530.2,4644.8,4833.7,4987.1,5146.6,NaN,NaN,5482.9,NaN,5677.9,5836.8,6004,6223.5,6350.8,6466.6,6654.3,6807.2,6967.6,NaN,NaN,7326.3,NaN,7523.3,7678.2,7848.5,8063.4,8187.9,8307.1,8495.7,8653.8,8815.2,NaN,NaN,9163.3,NaN,9358.6,9654.5,9787.7,9900.1,10087,10246,10455,10665,10796,10913,11100,NaN,11297,11457,11651,11870
2046.2,2223.2,2381.9,2596,2783,2951.2,3132.4,3282.8,NaN,NaN,3648.1,NaN,3902.3,4052.6,4204.4,4482.9,4608.8,4765.8,4936.4,5084.4,NaN,NaN,5403,NaN,5630.5,5785.1,5933.5,6181.9,6283.4,6425.9,6586.1,6756.3,6908,NaN,NaN,7228.6,NaN,7475.6,7627.9,7779.1,8025.4,8137.1,8267.1,8429.6,8601,8753.1,NaN,NaN,9074.6,NaN,9306.2,9457.2,9723,9860.6,10021,10212,10347,10632,10739,10872,11037,NaN,11244,11396,11558,11833,11928
