n,n,e,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c
1987.5,2175.5,2303.7,2586.9,2895.8,3649.3,3763.6,3950.4,4185.6,4348.8,4467.1,4651.3,4801.4,4953.8,NaN,NaN,5282.5,NaN,5472.9,5624.7,5802.2,6013.9,6136.2,6248.8,6442.5,6599.5,6708.9,6892.3,7044,7212.2,NaN,NaN,7537.8,NaN,7728.9,7884.4,8052.5,8267.1,8391.8,8500.2,8703.2,8840.1,8952.8,9132.7,9283.3,9459.2,NaN,NaN,9802.1,NaN,9996.4,10154,10325,10549,10764,10910,11023,11201,NaN,11395,11552,11729,11959,12084,12195,12399,12545,12661,12845,13000,13190,NaN,NaN,13552,13686,13802,13986,NaN,14186,14343,14525,14748,14878,14993,15202,15350,15467,15648,NaN,15845
2049.5,2237.2,2407.1,2656.9,2942.4,3730.5,3879.8,4060.3,4273.2,4422.2,4587.3,4751.2,4898.6,NaN,NaN,5205.9,NaN,5426,5578.6,5722.3,5976.7,6102.8,6215.6,6371.8,6517.6,6675.2,6830.4,6992.3,7141.3,NaN,NaN,7466.9,NaN,7679.9,7836.8,7981.8,8227.4,8337.3,8468.3,8618.2,8775.8,8917.7,9068.9,9233.7,9383.8,NaN,NaN,9717.9,NaN,9950.8,10097,10251,10500,10623,10835,10987,11142,NaN,11345,11504,11650,11910,12030,12161,12316,12473,12618,12782,12947,13102,NaN,NaN,13448,13629,13759,13925,NaN,14132,14288,14443,14698,14821,14958,15112,15276,15428,15590,NaN,15797,15948
