n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1984.2,2140.4,2290.4,2470.6,2610.4,2831.8,3024.6,3148.4,3360.2,3509.8,3676,NaN,NaN,4011.3,NaN,4205.9,4356.6,4537.3,4754.2,4880.5,4997.8,5198.4,5346.4,5459,5641.7,5795.5,5958.4,NaN,NaN,6302.7,NaN,6497.5,6654.9,6828.7,7144.7,7287.7,7406.6,7660.8
2062.9,2217.4,2360.6,2541.3,2717.8,2900.2,3094,3270.2,3459.8,3606.5,NaN,NaN,3929.4,NaN,4159.9,4304.1,4450.7,4716.9,4823.5,4956.1,5122.5,5269.1,5425.6,5578,5747.2,5896.4,NaN,NaN,6210.9,NaN,6449.2,6599.5,6751.6,7009.7,7218.6,7363.9,7526.9,7731.6
