n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
1986.1,2779.2,2958.4,3080.1,3301.7,3486.3,3615.9,3823.7,4010.2,4120.5,4313.9,4465.9,4625.1,NaN,NaN,4971.4,NaN,5161.3,5314.6,5483.8,5703.5,5826.8,5941,6139.4,6277.5,6402.2,6613.3,6753.4,6865.7,7083.3,7233,7351.7,7534.3,7684.5,7855,8069.7,8192,8301,8486,NaN,8676.3,8831.4,9009.5,NaN,NaN,9340.4,NaN,9531.4,9685.7,9852.5,10070,10195,10312,10512,10655,10767,10918,11104,11264,NaN,NaN,11667,11830,11942,12125,12281,12454,NaN,NaN,12790,NaN,12984,13145,13320,13537,13662,13774,13983,14119,14233
2035.2,2847.6,3026.4,3186,3368.7,3555.8,3730.6,3888.9,4086.3,4231.6,4415.5,4558.4,NaN,NaN,4889.6,NaN,5114.5,5263.2,5410.7,5658.3,5770.8,5899.4,6059.2,6207.6,6354.2,6518.2,6680.8,6824.6,6985.5,7156.5,7307.2,7470.6,7632.8,7778.8,8026.1,8138.5,8262.9,8418.5,NaN,8632.5,8774.9,8929.6,NaN,NaN,9262.4,NaN,9483.3,9630.2,9784.7,10033,10141,10266,10427,10583,10731,10885,11049,11202,NaN,NaN,11516,11734,11907,12063,12221,12378,NaN,NaN,12706,NaN,12934,13083,13242,13494,13609,13735,13891,14054,14197,14355
