n,n,n,n,n,e,n,n,e,n,n,e,n,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n
2596.2,2743.7,2995.5,3156.1,3325.8,3448.4,3774.9,4100.5,4232.4,4974.7,5160.5,5283.1,5523.9,5775.5,5912.5,6077.4,6265,6414.6,6576.3,6666.1,6911.7,NaN,7104,7257.4,7422.7,7635.8,7758.4,7870.2,8068.5,8207.8,8317.5,8492,8643.4,8817.8,NaN,NaN,9141.8,NaN,9338.7,9492.2,9664.4,9883,10004,10117,10320,10456,10568,10751,10902,11077,NaN,NaN,11402,NaN,11593,11749,11917,12134,12257,12369,12573,12722,12835,13017,NaN,13209,13364,13562,NaN,NaN,13905,NaN,14101,14261,14431,14650,14778,14894,15097,15250,15364,15579,15761,15877,16063,16219,16398,NaN,NaN,16783
2641.4,2906.1,3067.2,3228,3409.9,3554,3991.9,4167.2,4340.9,5049.4,5227.5,5415.9,5596,5866.1,6016.8,6194.5,6365.5,6507.5,6639.3,6817.5,NaN,7055.5,7199.2,7355.1,7599.8,7725.4,7831.1,7988.4,8139.6,8280.3,8434.9,8594.2,8742.4,NaN,NaN,9069.2,NaN,9289.4,9445.6,9591.8,9840.4,9951.8,10080,10240,10389,10527,10687,10853,10999,NaN,NaN,11328,NaN,11547,11693,11850,12092,12202,12327,12488,12641,12798,12956,NaN,13158,13307,13462,NaN,NaN,13812,NaN,14052,14200,14362,14609,14718,14855,15016,15167,15329,15484,15652,15838,15998,16167,16319,NaN,NaN,16652,16848
