n,n,e,c,-,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,e
1992.8,2150.4,2270.1,2452,2604,3088.9,NaN,3278.9,3433,3604.4,3820.8,3945.4,4055.4,4247.1,NaN,4445.6,4601.3,4765.2,4984.5,5110.8,5221.3,5398.8,NaN,5592,5748.8,5944.6,NaN,NaN,6282.9,NaN,6481.4,6640.4,6823.9,7040.2,7169.7,7284.2,7471.6,NaN,7673,7834.6,8046.6,NaN,NaN,8398.7,8550.5,8664,8879.1,9047,9166.7,9352,9507.7,9733.6
2060.3,2222.7,2389.1,2556.1,3020.3,NaN,3231.6,3380.9,3532.2,3779.8,3901.2,4023,4178.9,NaN,4394.6,4548.5,4699.7,4947.6,5062.4,5187.9,5343.2,NaN,5545.2,5700.7,5852.2,NaN,NaN,6194.4,NaN,6430.8,6583.5,6738.6,7003,7113.3,7245.7,7403.3,NaN,7618.3,7780.1,7935.7,NaN,NaN,8300.1,8467.3,8625.6,8790.2,8954.4,9120.5,9287.8,9456.3,9609.2,9883.5
