n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e
1980.2,2142.2,2263.9,2594.3,2778,2903.5,3105.2,3252.3,3406.9,NaN,NaN,3737.6,NaN,3928.8,4079.3,4246.7,4460.2,4586.6,4697.2,4897.6,5052.8,5164.5,5341,5491.5,5656,NaN,NaN,5986.3,NaN,6178.3,6331.5,6498.8,6716.5,6842.6,6952.9,7153.5,7299,7411,7588.9,7740.8,7895.8,NaN,NaN,8277.7,8437.2,8557.5
2055.7,2210.7,2370.2,2660.6,2847.3,3019.3,3196.5,3346.6,NaN,NaN,3657.4,NaN,3881.4,4031.2,4174,4422.3,4530.8,4659.5,4816.3,4965.8,5130.3,5284.6,5442.4,5587.7,NaN,NaN,5909.1,NaN,6130,6278.3,6426.9,6674.6,6785.6,6916.7,7073,7220.2,7373.5,7529.1,7689.6,7838.2,NaN,NaN,8147.2,8350.9,8518.5,8681.9
