g,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,n,e,a,b,c,x,g,n
3349.6,3509.4,3654.1,3808.1,3918.3,4169.2,4339.2,4457.6,4660.8,4807.8,4925.4,5105.5,5251.5,5404.5,NaN,NaN,5719.7,NaN,5910.8,6064.7,6223,6433,6551.2,6663.8,6844.5,6994.9,7148.6,NaN,NaN,7470,NaN,7660.6,7813.8,7982.9,8193.3,8315.7,8424.8,8623.3,8750.9,8860.8,9038.3,9190.2,9350.1,9436.9,9670.8,NaN,9862.1,10017,10179,10395,10515,10624,10804,NaN,10997,11153,11310,NaN,NaN,11627,NaN,11818,11971,12144,12364,12487,12597,12781,NaN,12972,13133,13334,13419,13654,NaN,13863,14023,14214,14501
3389.8,3583.1,3728.8,3878.5,4027,4234.3,4410.6,4572.3,4726.7,4882.9,5042.5,5199.3,5343.5,NaN,NaN,5655.2,NaN,5862.8,6011.6,6155.6,6395,6502.9,6624.6,6779.7,6944.2,7092,NaN,NaN,7400.6,NaN,7612.3,7757.5,7911,8158.4,8264.9,8389.8,8545.1,8710,8826.2,8976.4,9132.5,9285.1,9410.4,9593.7,NaN,9812.8,9961.2,10113,10356,10464,10590,10744,NaN,10964,11095,11248,NaN,NaN,11566,NaN,11766,11922,12069,12318,12432,12557,12717,NaN,12923,13091,13230,13395,13576,NaN,13811,13964,14121,14388,14564
