n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n
1838.2,1981.1,2135.9,2306.4,2444.8,3220,3383,3510.4,3743.6,3924.2,4050.1,4241.2,4398.4,4562.9,NaN,NaN,4904.4,NaN,5102.5,5258.5,5433.9,5656.2,5786.6,5903.2,6110.5,6406.7,6547.8,6664,6856.9,7013.1,7194,7417.5,7546.8,7661.2,7850.6,NaN,8052.3,8213.2,8378.2,NaN,NaN,8734.3,8881.5,8998.8,9188.3,9346.1,9531.5,9748.1,9875.4,9991.2,10192
1868.6,2063.6,2213.6,2371.4,2547.2,3289.2,3454.8,3620.4,3817.8,3997.7,4170.3,4349.1,4499.3,NaN,NaN,4821.7,NaN,5052.9,5204.3,5364,5616.6,5730.8,5862.5,6023.1,6184.8,6477.3,6625.4,6791.6,6960.1,7115.8,7375.9,7495.2,7622.9,7781.6,NaN,8001.9,8155.9,8314.2,NaN,NaN,8632.7,8807,8959.2,9121,9288,9454.8,9712.4,9823.3,9951.4,10114,10269
