n,n,-,-,n,n,g,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c
1918.2,2243.7,2812.8,3382.1,3602.9,3756.6,4320.2,4570.8,4727.6,4881.6,4978.6,5273.6,5452.6,5562.9,5785.3,5999,6118.6,6303.1,6452.2,6609.5,NaN,NaN,6931.5,NaN,7129.8,7286.5,7457.9,7675.5,7801.6,7913.8,8117.3,8266.2,8378.2,8563.8,8716.1,8890.8,NaN,NaN,9210.2,NaN,9408.7,9560.3,9744,9960.6,10086,10198,10381,NaN,10577,10733,10912,NaN,NaN,11247,NaN,11443
2131.7,2294.9,2851.7,3427.6,3691.6,3831.3,4423.3,4633.2,4784.5,4941.5,5104.7,5342.4,5518.7,5677.5,5853.2,6071.8,6232.6,6401.5,6549.6,NaN,NaN,6860.6,NaN,7078.5,7230,7388.2,7637.3,7749,7878.1,8037.2,8188,8340.6,8502.9,8664.9,8816.3,NaN,NaN,9147.1,NaN,9358.5,9503.4,9659,9924.7,10031,10164,10325,NaN,10528,10673,10834,NaN,NaN,11171,NaN,11392,11503
