n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,x,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x
1984.5,2162.6,2285.5,2559.5,2689.3,2840.9,3024.2,3173,3354.7,NaN,NaN,3675.6,NaN,3867.4,4000.5,4191.5,4401.9,4532.8,4643.8,4842.2,4986.5,5095.9,5269.7,5419.9,5573.1,NaN,NaN,5906.6,NaN,6096.4,6255.3,6478.1,6618.9,6746.2,6857.4,7056.2,7194.5,7302.5,7486.4,7638.9,7798.5,NaN,NaN,8121.3,NaN,8316.5,8470.3,8659.3,8881.9,9149.6,9420.8,9563.1,9671.1,9848.2,9999.2,10179,NaN,NaN,10555,10711,10830,11047,NaN,11241,11403,11571,11788,11916,12027,12218,NaN,12410,12567,12746,NaN,NaN,13071,NaN,13270,13433
2127.2,2225.3,2392,2628.8,2792.1,2961.4,3126.2,3272.7,NaN,NaN,3616.7,NaN,3822.6,3964.2,4114,4368.2,4474.8,4606.1,4761.4,4913.4,5060,5216.7,5373.2,5517.3,NaN,NaN,5826.5,NaN,6050.8,6204.6,6372.5,6577.1,6692.8,6819.1,6982.4,7124.1,7268.3,7419.9,7587.8,7743.9,NaN,NaN,8058.9,NaN,8264.8,8418.2,8571.4,8842.1,8970.3,9220.7,9489.3,9636.8,9791.8,9948.2,10097,NaN,NaN,10432,10622,10782,10950,NaN,11191,11349,11499,11751,11863,11992,12146,NaN,12364,12514,12664,NaN,NaN,12996,NaN,13218,13374,13531
