n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
9110.7,9211.6,9531.2,9627.6,9817.6,10004,10287,10451,10580,10771,10924,11094,NaN,NaN,11410,NaN,11607,11759,11928,12143,12268,12380,12581,12724,12836,13018,13171,13332,NaN,NaN,13660,NaN,13851,14009,14190,14408,14532,14643,14861,15008,15118,15292,15448,15614,NaN,NaN,15942,NaN,16138,16300,16468,16680,16803,16915,17126,17268,17386,17603,17792,17916,18129,18279,18389,18572,18726,18908,NaN,NaN,19241,NaN,19433,19592,19761,19979,20101,20214,20398,NaN,20593,20752
9164.8,9360.8,9592.2,9736.5,9879.5,10109,10381,10524,10700,10870,11018,NaN,NaN,11353,NaN,11555,11705,11856,12105,12221,12342,12500,12653,12797,12956,13124,13270,NaN,NaN,13583,NaN,13803,13954,14106,14365,14481,14611,14763,14933,15084,15238,15394,15547,NaN,NaN,15864,NaN,16084,16242,16395,16638,16750,16877,17035,17194,17344,17506,17681,17865,18034,18201,18354,18512,18667,18826,NaN,NaN,19166,NaN,19387,19535,19691,19942,20066,20174,20336,NaN,20546,20696,20847
