n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
2118.7,2283.8,2886.2,3035.1,3201.8,3379.8,3531.3,3952,4124.9,4254.3,4471.8,4638.9,4759.9,4950.3,5100.4,5627.9,5779.7,5891.8,6068.1,6219.3,6374.3,NaN,NaN,6702,NaN,6897.2,7050.2,7220.5,7435.4,7560.2,7671.5,7847.7,NaN,8041.7,8197.1,8361,NaN,NaN
2186.4,2321.1,2951.9,3111.4,3270.3,3448.3,3635.9,4025.6,4193,4364,4542.4,4713.9,4875.7,5046.8,5199.9,5698,5855.7,6012.4,6171.1,6317.5,NaN,NaN,6632,NaN,6850.6,7001,7147.3,7396.1,7517.2,7637.4,7790.7,NaN,7996.3,8144,8294.3,NaN,NaN,8611.9
