n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,e,n,n,d,m,p,x,d,m,p,a,b,c,x,g,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,n,n,n,n,e,a,b,c
2618.6,2815.2,2928.7,3173.6,3352.4,3468.8,3662.7,3814.1,3968.3,NaN,NaN,4295.6,NaN,4489.2,4645.2,4805.5,5017.6,5141.2,5252.6,5447.8,5592.2,5702.5,5893.6,6042.5,6208.3,NaN,NaN,6532.7,NaN,6740.7,6893.3,7066.2,7293.7,7421.2,7535.9,7736.8,7980.6,8184.2,8328.4,8436.3,NaN,NaN,8776,8931.4,NaN,NaN,9263,NaN,9455.2,9610.6,9779.1,9994.6,10228,10425,10565,10676,10862,11015,11185,NaN,NaN,11520,NaN,11716,11871,12046,12261,12385,12496,12683,NaN,12881,13042,13237,NaN,NaN,13596,13741,13857,14039,14193,14397,NaN,NaN,14792,14963,15098,15280,NaN,15477,15639,15817,16109,16259,16376,16555,NaN,16753,16911,17116,17303,17535,17689,17800,17983,NaN,18178
2693.8,2884.9,3040.4,3246.5,3425.1,3588.5,3764.4,3909.2,NaN,NaN,4227.7,NaN,4441.5,4586.4,4742.5,4980.4,5089.6,5216.1,5368.6,5519.2,5666.8,5819.2,5989.9,6135.8,NaN,NaN,6462,NaN,6679.1,6840.6,6987.8,7258.4,7365.4,7494.6,7652.6,7943.3,8099.8,8255.5,8403.3,NaN,NaN,8726.2,8872.3,NaN,NaN,9184.7,NaN,9406.9,9557.3,9707.4,9954,10194,10350,10501,10640,10796,10965,11113,NaN,NaN,11436,NaN,11669,11836,11966,12225,12335,12460,12617,NaN,12829,12991,13138,NaN,NaN,13491,13668,13819,13979,14143,14294,NaN,NaN,14653,14860,15038,15219,NaN,15422,15584,15737,15997,16180,16335,16492,NaN,16701,16858,17006,17184,17375,17605,17762,17919,NaN,18130,18282
