g,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x
2179.3,2331.9,2514.2,2769.6,3038.4,3194.4,3317.6,3805.5,3958.8,4077.4,4265.9,4418.1,4591.5,NaN,NaN,4917.2,NaN,5110.6,5267.4,5435.8,5647.3,5773.1,5885,6094.9,6234.6,6347.6,6531.1,6682.6,6844.2,NaN,NaN,7177,NaN,7372.8,7531.9,7700.4,7913.1,8041.8,8154.4,8362.2,8507.8,8619.1,8804.1,8957,9120,NaN,NaN,9475.3,9651.3,9767.6,9947.1,NaN,10141,10299,10477,10689,10814,10927,11133,11283,11396,11580,11734,11906,12132,12258,12370,12552,NaN,12746,12903,13091,NaN,NaN,13426,NaN,13620,13779,13955,14175,14302,14411,14595,NaN,14791,14949,15158,NaN,NaN,15524,15803,15976,16091,16276,NaN,16472,16634,16807,17027,17155,17270,17455,NaN,17657,17815,18006,NaN,NaN,18369,18522,18638,18824,NaN,19025,19187
2230.6,2411.8,2574.4,2839.1,3122.6,3262.8,3424.3,3900.7,4030.3,4194.2,4364.9,4514.7,NaN,NaN,4842.4,NaN,5062.5,5218.2,5366.3,5610.2,5718.5,5850.6,6003.4,6167.6,6311.7,6472.8,6630.4,6782,NaN,NaN,7097.2,NaN,7323.6,7474.8,7626.9,7878.5,7989.3,8115.4,8277.3,8434.8,8582.9,8740.5,8907.3,9056.7,NaN,NaN,9371.9,9544.1,9724.4,9886,NaN,10089,10243,10400,10654,10765,10889,11052,11206,11362,11516,11674,11834,12084,12205,12332,12488,NaN,12700,12851,13001,NaN,NaN,13345,NaN,13571,13724,13879,14134,14251,14374,14535,NaN,14743,14895,15050,NaN,NaN,15405,15593,15891,16053,16210,NaN,16421,16581,16733,16987,17102,17232,17393,NaN,17607,17759,17914,NaN,NaN,18259,18457,18600,18760,NaN,18971,19124,19289
