n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n
4852.7,5008.7,5175.1,6240.5,6394.2,6514.8,6747.1,6959.5,7072.5,7260.4,7414.3,7568.1,NaN,NaN,7892.7,NaN,8079.4,8230.5,8395.9,8612.1,8733.3,8842.9,9047.6,9191.3,9301.1,9482.6,9629.8,9788.8,NaN,NaN,10115,NaN,10307,10465,10690,NaN,NaN,11019,NaN,11210,11367,11545,11757,11877,11987,12181,12349,12457,12633,NaN,12826,12980,13156,13369,13488,13602,13793,13935,14045,14229,14380,14542,NaN,NaN,14862,NaN,15054,15214,15375,15692
4893.5,5066,5280.6,6307.4,6463.7,6622.2,6819.8,7026.9,7193.2,7365.3,7511.7,NaN,NaN,7819.3,NaN,8032.8,8181.2,8330,8575,8685.7,8808.5,8964.9,9123.2,9265.8,9424.6,9581.6,9728.6,NaN,NaN,10040,NaN,10261,10415,10562,NaN,NaN,10933,NaN,11162,11318,11466,11722,11829,11953,12107,12256,12424,12580,NaN,12779,12933,13079,13328,13438,13558,13721,13863,14012,14168,14332,14478,NaN,NaN,14791,NaN,15005,15153,15311,15550,15764
