-,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a
1560.6,1822.7,1974.6,2125.8,2281.7,2404.4,3161,3392,3518.2,3728.1,3888.5,4012.1,4188.2,4339.1,4500.7,NaN,NaN,4832,NaN,5029.9,5181.6,5350.2,5561.6,5684.3,5795.3,6003.6,6138.1,6248.9,6442.4,6593.7,6752.7,NaN,NaN,7097.9,NaN,7293.6,7451.8,7627.2,7840.8,7962.5,8075,8260.8,NaN,8456.2,8612.9,8786.3,9003.1,9216.9,9353.2,9466.8,9648.8,NaN,9845.5,10004,10178,10394,10524,10638,10842,10991,11102,11305,11448,11561,11747,11900,12070,NaN,NaN,12396,NaN,12593,12752,12924,13145,13276,13394,13586
1596.6,1868.9,2042.6,2190.2,2346,2513,3287.4,3465,3625.7,3802.6,3966.7,4133.2,4287.3,4435.3,NaN,NaN,4755.3,NaN,4981.7,5126.1,5282.9,5530.2,5636.1,5760.8,5919.4,6078,6215,6365.4,6533.7,6693.2,NaN,NaN,7007.2,NaN,7247,7392.8,7549.6,7801.5,7913.2,8039.2,8196.2,NaN,8407.9,8556.6,8713,8966.4,9081,9289.1,9429.7,9591.5,NaN,9797.8,9952.1,10104,10354,10471,10603,10757,10912,11069,11222,11382,11527,11684,11850,12000,NaN,NaN,12324,NaN,12546,12693,12848,13102,13219,13354,13514,13647
