n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,-,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e
1988.5,2158,2284.6,2512,2684.2,2801.9,2992.9,3147.9,3304.8,NaN,NaN,3655.4,NaN,3853.2,4009.5,4318,4866.2,4944,5115.5,5230.6,5388.8,5669.3,5782.6,5968.8,6121.2,6274.9,NaN,NaN,6598.6,NaN,6795.8,6952.2,7139.8,7361.2,7488.8,7603.9,7808.9,7953.9,8067,8246.6,8404.3,8565.5,NaN,NaN,8919,NaN,9116.7,9274.9,9478.2,9699.9,9824.8,9938.8,10129,NaN,10325,10487,10681,NaN,NaN,11064,11234,11351
2056.1,2226.2,2397.2,2583.7,2756.9,2920.4,3095.2,3243.7,NaN,NaN,3561.4,NaN,3802,3953.1,4108.5,4393.8,4899.7,5021.9,5188,5349.3,5556.7,5748.6,5902.6,6074.2,6217.6,NaN,NaN,6528.9,NaN,6745.5,6893.9,7048.7,7317.7,7428.8,7563.8,7728.2,7881.9,8026.7,8189.1,8347.2,8502.4,NaN,NaN,8817.2,NaN,9063,9237.5,9370.9,9658.7,9765.8,9900,10061,NaN,10276,10430,10587,NaN,NaN,10936,11130,11311,11472
