n,n,e,-,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1986.7,2144.8,2256.4,2574.2,2800.8,2932.7,3125.2,3277.6,3433.6,NaN,NaN,3774,NaN,3970,4124.2,4315.7,4711.1,4883.8,5000.6,5209.5,5357,5469.7,5661,5826.1,5987.4,6076,6308.8,NaN,6508.6,6667,6859.2,7076,7202,7312.6,7531.6,7681,7794,7972.5,NaN,8169.2,8323.7,8497.8,8712.9,8839.1,8949.9,9134.9,NaN,9330.7,9491,9659.3,NaN,NaN,10027
2067.8,2214.6,2365.1,2644.3,2874.9,3047.8,3224.1,3370.3,NaN,NaN,3693.8,NaN,3918.7,4068.7,4223.4,4490.5,4782.4,4961.6,5118.7,5279.4,5433.4,5592.4,5760.7,5933.3,6050.2,6232,NaN,6457.7,6609.9,6769.1,7035.7,7156.2,7281.1,7429.4,7599.3,7759.4,7916.5,NaN,8117.4,8269.6,8426.1,8674.2,8786.6,8916.4,9072.8,NaN,9279,9437.5,9591.8,NaN,NaN,9914.5,10097
