-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c
1981.1,2279.8,2487,2619.6,3047.7,3217,3336.1,3530.6,3681.1,3835.9,NaN,NaN,4159.1,NaN,4354.1,4507.1,4671.6,4883.8,5004.7,5117.8,5315.4,5452.1,5564.8,5740.4,5893.5,6053.3,NaN,NaN,6371.9,NaN,6565.3,6721.3,6883.7,7099.2,7223.2,7332.3,7511.9,NaN,7705.2,7862.1,8036.4,NaN,NaN,8383.6,NaN,8577
2042.4,2357.4,2558.2,2732.1,3120,3291.3,3459.6,3628.4,3776.8,NaN,NaN,4099.8,NaN,4308,4458.1,4602.8,4850.8,4956.2,5080.8,5255.2,5408.8,5527.9,5683.4,5841.1,5991.9,NaN,NaN,6305.2,NaN,6521.5,6664.4,6816.7,7062.7,7172.2,7298.8,7453.9,NaN,7659.6,7809.3,7958.4,NaN,NaN,8320,NaN,8530.8,8675
