n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e
1834.9,1978.6,2127.9,2302.3,2465.6,2752.4,2946.6,3081.3,3314.4,3541.4,3668.8,3973.4,4128.1,4243.8,4431.3,4585.6,4738.2,NaN,NaN,5074.2,NaN,5269.9,5423.9,5587.2,5806.5,5938.4,6052.3,6254.8,6403.7,6515.1,6699,6853.8,7020.7,NaN,NaN,7375.3,NaN,7571.1,7726,7887.3,8102.5,8237.8,8347.2,8564.3,8709,8821.7,9039.1,9186.2,9299.9,9485.9,9644.6,9816.3,NaN,NaN,10160,NaN,10358,10515,10686,10900,11028,11140,11322,NaN,11520,11679,11867,12092,12220,12333,12526,NaN,12725,12908,13086,13312,13466,13610,13725,13913,NaN,14111,14273,14468,NaN,NaN,14844,14999,15117,15305,NaN,15511,15675,15888,NaN,NaN,16274,16427,16552
1878.2,2041.7,2188,2363.3,2569.5,2822.8,3015.3,3205.3,3386.2,3611.1,3790.2,4047.7,4202.1,4364.9,4529.9,4696.2,NaN,NaN,4998.1,NaN,5222.1,5382.3,5528.9,5769.8,5903.7,6022,6176.7,6341.4,6480,6638.1,6807.2,6957.8,NaN,NaN,7277.5,NaN,7524.1,7672.4,7825.7,8068,8188.8,8314.3,8491.7,8652.8,8783.2,8949.3,9132.7,9261.6,9423.2,9608.7,9750.9,NaN,NaN,10098,NaN,10310,10461,10616,10866,10989,11103,11261,NaN,11474,11620,11778,12049,12176,12300,12456,NaN,12674,12836,13009,13265,13363,13553,13688,13850,NaN,14065,14217,14377,NaN,NaN,14727,14926,15083,15242,NaN,15457,15614,15776,NaN,NaN,16148,16358,16514,16679
