n,n,n,e,n,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,n,e,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n
2971.1,3449.3,3613.2,3745.6,4039.9,4703.5,4874.4,4990.4,5201.4,5347.1,5467.3,5650.9,5800.8,5968,6181.7,6319.1,6435,6649.1,6802.3,6915.3,7091.2,7241.6,7399.2,NaN,NaN,7731.6,NaN,7924.7,8080.9,8259.5,8471.2,8598.5,8709.2,8913.4,9051.5,9163.2,9400.4,10758,10876,11026,11194,11310,11518,11671,11783,11967,12116,12281,NaN,NaN,12636,NaN,12808,13074,13216,13329,13512,13663,13841,14058,14181,14293,14501,14644,14758,14944,15095,15261,15481,15604,15717,15901,NaN,16096,16253,16427,16650,16869,17014,17128,17334,17483,17597,17788,17942,18120,NaN,NaN,18495,18648,18763,18983
3031.1,3515.6,3676.1,3850.8,4112.7,4771.2,4942.7,5105.7,5273.5,5421.2,5584.3,5751.3,5902.1,6143.2,6254.7,6390.5,6549.5,6721.1,6876.9,7029.8,7188.5,7341.5,NaN,NaN,7653.2,NaN,7878.8,8024.9,8176.5,8432.5,8543.2,8670.8,8826.2,8986,9127.4,9286.7,9473.1,10801,10946,11095,11263,11415,11594,11749,11902,12058,12216,NaN,NaN,12535,NaN,12770,12921,13147,13294,13450,13612,13759,14018,14135,14255,14414,14574,14725,14883,15042,15194,15440,15553,15678,15837,NaN,16041,16195,16352,16604,16720,16940,17089,17248,17412,17560,17716,17888,18038,NaN,NaN,18374,18564,18722,18882,19056
