n,n,n,n,n,e,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,n,e,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x
1970.9,2144.6,2286.7,2439.5,2587.5,2716.9,2885.7,3190.1,3351.3,3472.7,3671.8,3824.4,3940,4119.7,4271.7,4433.7,4521.1,4752.1,NaN,4946.7,5098.4,5262.6,5479.9,5600.8,5711.7,5891,6040.6,6200.2,NaN,NaN,6523.6,NaN,6715.8,6866.9,7033.1,7245.8,7369.1,7481.1,7662,NaN,7850.7,8006.1,8169.4,8382.6,8501,8611.3,8791.4,8945.2,9115.3,9204.2,9486.8,9636.6,9748.6,9951.8,10091,10201,10382,10531,10692,10905,11028,11138,11332,NaN,11541,11697
2025.6,2255.8,2375.7,2504.3,2650.8,2820.6,2933,3262.6,3423.2,3585.9,3742.5,3901.5,4058.9,4216.3,4366.6,4495.8,4674.6,NaN,4897.5,5045.9,5194.4,5437.6,5547.8,5677.3,5828.9,5990.3,6138.5,NaN,NaN,6452.4,NaN,6667.2,6808.6,6962.7,7207.8,7316.1,7447,7600.9,NaN,7803.2,7947.4,8104,8342,8453.7,8575.7,8726.3,8892.9,9042.4,9181.1,9360.7,9554.2,9714.6,9868.5,10023,10167,10323,10495,10630,10867,10976,11103,11261,NaN,11479,11642,11861
