n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x
1969.3,2100.9,2932.1,3228.1,3387.3,3531.9,4546.8,4723.1,4842.8,5054,5215.9,5330.5,5520.1,5678.6,5852.5,NaN,NaN,6184.2,NaN,6379.7,6536.6,6708.9,6924.1,7047.7,7160.4,7362.5,7508.2,7621.2,7809.5,7963.2,8126.7,NaN,NaN,8457.5,NaN,8654.2,8812.1,8981,9200.2,9324.6,9437.3,9638.2,9772.9,9887.7,10069,10224,10398,NaN,NaN,10724,NaN,10918,11076,11253,NaN,NaN,11606,NaN,11802,11958,12119,12341,12466,12580,12762,NaN,12961,13129,13294,13515,13639,13751,13963,14106,14220,14399,14555,14743,NaN,NaN,15084,NaN,15281,15446,15731,15865,15977,16182,16320,16435,16621,NaN,16817,16976,17150,NaN,NaN,17508,17656,17771,17958,NaN,18159,18326,18500,18720,18851,18969,19154,NaN,19354,19520
2033.9,2207.2,3150.2,3293.6,3452,3642.4,4630.6,4794.4,4953.8,5123.8,5293.9,5448.8,5620.4,5776.9,NaN,NaN,6110.2,NaN,6327.9,6502.8,6635.3,6887.6,6991.8,7123.6,7282.5,7438.2,7590.3,7744.8,7911.9,8062.4,NaN,NaN,8380.1,NaN,8607.5,8760.1,8908.9,9160.1,9271.7,9401.6,9557.2,9711.8,9846.2,10007,10168,10321,NaN,NaN,10651,NaN,10872,11019,11174,NaN,NaN,11510,NaN,11749,11904,12055,12300,12415,12539,12701,NaN,12908,13067,13224,13475,13586,13714,13869,14034,14179,14339,14506,14656,NaN,NaN,15002,NaN,15233,15385,15545,15802,15938,16103,16256,16394,16555,NaN,16763,16918,17086,NaN,NaN,17403,17580,17731,17893,NaN,18108,18287,18425,18680,18794,18927,19092,NaN,19304,19464,19622
