n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x
3042.8,3190.4,3351.9,3513.4,4044.1,4164.8,4352.8,4502,4759,4926.3,5052.5,5252.5,5439.5,5558.2,5741.6,5893.7,6062.4,NaN,NaN,6384.7,NaN,6581.5,6736.2,6907.7,7122.2,7247.1,7359.9,7541.4,7695.7,7860.1,NaN,NaN,8207.9,8342,8459.1,8642,8798.6,8970,9187.9,9313.6,9428.5,9608.1,NaN,9803.9,9960.4,10123,NaN,NaN,10493,10637,10750,10934,NaN,11133,11289,11461,11682,11806,11919,12107,NaN,12306,12466,12651,NaN,NaN,13001,13141,13253,13442,13599,13777,14001,14128,14243,14443,NaN,14640,14802
3106.8,3317.9,3433.8,3583.4,4122.3,4261.1,4391.9,4603.1,4843.8,5000.8,5163.9,5323,5519.1,5678.5,5832.4,5989.1,NaN,NaN,6316.1,NaN,6533.1,6685.2,6836.8,7084.5,7195.4,7324.8,7480.7,7643,7792.5,NaN,NaN,8113.4,8279.6,8421.3,8578.8,8747.8,8897.9,9146.1,9263.7,9392.9,9550.2,NaN,9754.7,9908.2,10060,NaN,NaN,10377,10566,10716,10875,NaN,11085,11228,11386,11638,11756,11882,12042,NaN,12257,12406,12565,NaN,NaN,12904,13069,13218,13375,13541,13701,13960,14086,14205,14368,NaN,14589,14741,14903
