n,n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,a,b,c,x,g,n,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p
2473.3,4078.1,4167.9,4378.9,5021.5,5200.1,5356.8,6262.7,6526.1,6654.4,6933.8,7117.9,7248.7,7469.3,7615.4,7771.8,NaN,NaN,8101.6,NaN,8292.4,8443,8616,8826.3,8948.3,9056.8,9259.8,9410.8,9522.1,9753,9957.9,10075,10253,10403,10558,NaN,NaN,10909,NaN,11101,11255,11424,11640,11760,11870,12068,12201,12314,12515,12670,13058,13222,13333,13511,13662,13820,NaN,NaN,14140,NaN,14332,14487,14653,14868,14991,15103,15283,NaN,15477,15635,15816,16030,16165,16279,16480,16628,16743,16944,17092,17201,17381,NaN,17575,17731,17908,18132,18290,18434,18546,18728,18880,19054,NaN,NaN,19405,19564,19677,19857,NaN,20054,20214,20423,NaN,NaN
2518.5,4128.3,4282.6,4451.3,5067.1,5271.8,5426.5,6402.8,6591.8,6759,7004.7,7185.2,7362.3,7562.2,7713.6,NaN,NaN,8030.1,NaN,8245.4,8396.5,8541.1,8791,8906.5,9024.2,9183.7,9330.8,9486.1,9638.1,9822.4,10030,10195,10356,10501,NaN,NaN,10811,NaN,11055,11199,11349,11599,11717,11831,11989,12140,12274,12435,12589,12741,13130,13297,13455,13614,13762,NaN,NaN,14073,NaN,14286,14439,14586,14828,14943,15067,15227,NaN,15427,15583,15732,15994,16105,16242,16401,16555,16708,16862,17023,17167,17333,NaN,17526,17680,17829,18087,18185,18361,18509,18665,18830,18978,NaN,NaN,19306,19473,19638,19797,NaN,20003,20155,20310,NaN,NaN,20679
