n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,n
1967.2,2110.2,2285.5,2438.3,2557.5,2818.7,3026.2,3160.7,3600.1,3787.2,3927.4,4147.3,4302.1,4462.9,NaN,NaN,4791.4,NaN,4990.1,5149.1,5323.9,5543.8,5668.4,5784.1,5990.1,6152.2,6270.9,6464.2,6619.2,6795.2,NaN,NaN,7132,NaN,7328.6,7487.1,7649.2,7869,7996.1,8110.8,8321.8,8477.5,8594.1,8816.8,8959.5,9074.4,9263.4,9414.4,9597.6,NaN,NaN,9956.7,10122,10244,10436,NaN,10633,10795,11002,NaN,NaN,11371,11519,11641,11847,12002,12168,12396,12525,12640,12823,NaN,13023,13223
2010.2,2179.1,2395.1,2497.1,2665.8,2896.4,3098.4,3279.6,3674.1,3863.4,4046.4,4243.7,4399.6,NaN,NaN,4719.8,NaN,4941.4,5099.3,5246.6,5506.8,5618.4,5740.5,5910.1,6067.2,6228.2,6396,6571.1,6722.8,NaN,NaN,7056.6,NaN,7279.7,7433.8,7586.3,7825,7949.5,8070.5,8235.6,8393.9,8555.2,8717.5,8900.7,9036.5,9203.6,9369.7,9517.2,NaN,NaN,9860.5,10030,10197,10365,NaN,10584,10744,10896,NaN,NaN,11271,11441,11596,11764,11953,12098,12349,12472,12603,12761,NaN,12973,13135,13300
