n,n,n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1776.8,1945.2,2100.6,2252.4,2734.4,2898.1,3073.4,3203.9,3501.7,3693,3815.9,4035,4228.4,4360.7,4599.6,4766.4,4884,5080.1,5235.1,5401.7,NaN,NaN,5738.7,NaN,5939,6097.7,6282.4,6499.5,6626.2,6739.3,6965.5,7109.9,7223.5,7411,7566.7,7739.8,NaN,NaN,8084,NaN,8279.5,8441.8,8622.2,8845.6,8973.3,9088.7,9277.6,NaN,9480.1,9642.7,9829.1,NaN,NaN,10201,10351,10465,10673,10852,10966,11157,11319,11493,11713,11840,11960,12149,NaN,12352,12513,12708,NaN,NaN,13084
1823,2025.8,2192.6,2312.9,2812,2967.9,3142.5,3311.5,3574.6,3763.2,3930.4,4103.9,4301.8,4475.8,4671.4,4842.6,5006.1,5180.7,5332.6,NaN,NaN,5662.8,NaN,5888.5,6047,6195.2,6459.4,6571.9,6703.3,6860.5,7037.6,7188.4,7347.1,7509.4,7667.3,NaN,NaN,7999.9,NaN,8232.2,8388.8,8540.7,8806.1,8919,9046.7,9216,NaN,9426.7,9587,9749.9,NaN,NaN,10092,10272,10424,10589,10749,10926,11094,11267,11431,11675,11787,11916,12082,NaN,12300,12457,12615,NaN,NaN,12966,13153
