n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a
1971.1,2112.2,2256.9,2394,2706.2,3332.8,3571.9,3771.1,3924,4199.2,5051.8,5236.5,5399.6,5552.2,5694.3,6174.6,6352.6,6507.5,6675.4,6802.4,7001.3,7156.9,7269.4,7451.2,7604.4,7769.9,7991.2,8121.5,8238.6,8435.7,NaN,8630.4,8789.8,8963.4,9186.5,9321.1,9435.2,9642.8,9790.5,9907.4,10098,10250,10409,NaN,NaN,10747
2019.4,2190.2,2357.8,2516.2,2796.6,3496.1,3644,3844.6,3996.4,4246.8,5099.4,5312.8,5467.9,5602,5755.3,6244.7,6385.5,6585.5,6752.2,6912.8,7073.8,7233.1,7387.8,7548,7701.9,7952.8,8066.7,8197.6,8360.8,NaN,8580.6,8737.7,8890.7,9143.1,9258,9403.9,9550.4,9718.9,9867,10032,10199,10353,NaN,NaN,10665,10891
