n,n,n,e,n,n,e,c,x,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
1961.6,2139,2304,2451.1,2745.6,2930.1,3046,3256.2,3405.2,4328.6,4516.9,4638.8,4854.4,5030.4,5154.1,5343.2,5494.2,5649.9,NaN,NaN,5973.6,NaN,6168.6,6320.6,6488.6,6706.6,6836,6948.6,7149.2,7295.5,7405.6,7594.6,7746.7,7905.5,NaN,NaN,8224.1,NaN,8420.3,8574.2,8714.8
2029.7,2204.7,2369.2,2553,2813.6,2998.8,3161.7,3351,3503.4,4399.2,4583.7,4752.8,4924.4,5103.1,5271.5,5442.3,5591.4,NaN,NaN,5906.8,NaN,6118.3,6270.9,6419.3,6669.8,6780.7,6908.8,7070.3,7222.1,7373.8,7525.8,7697.8,7845.6,NaN,NaN,8163.6,NaN,8374.7,8521.8,8671.7,8909
