n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p
1987.8,2162.1,2286.8,2564.2,2736.8,2872.9,3105.5,3271,3397.2,3596.7,3749.9,3910.7,NaN,NaN,4249.9,NaN,4449.4,4607.4,4783.5,5008.2,5134.9,5249.8,5438.3,NaN,5636.2,5793.8,5963.7,NaN,NaN,6293.8,NaN,6492.5,6648.4,6978.2,7137.6,7251.7,7478,7648.5,7760.1,7942.2,8097.6,8262.6,NaN,NaN,8639.6,8787.8,8901.9,9107.1,9253.8,9369.6,9555.8,NaN,9754.4,9913,10083,10298,10423,10536,10740,10879,10991,11234,11379,11490,11681,11836,12000,NaN,NaN
2056.8,2228.8,2392.3,2674.4,2807.6,2987.2,3191.5,3345.5,3517.3,3693.5,3849.8,NaN,NaN,4164.8,NaN,4402.1,4554.6,4707.3,4966.1,5082,5213.8,5369.6,NaN,5585.5,5744,5893.3,NaN,NaN,6217,NaN,6443.4,6591.1,6744.8,7049.2,7215.8,7373.4,7549.2,7724.6,7883.6,8046.1,8209.1,NaN,NaN,8525.2,8710.2,8862.9,9023.5,9179,9333.8,9490.8,NaN,9707.7,9862.6,10013,10265,10370,10504,10656,10815,10958,11108,11311,11459,11614,11785,11936,NaN,NaN,12256
