n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
1676.1,1834.9,1990,2168.1,2451.5,2622,2749.2,2986.9,3198.2,3321.6,3516.3,3663.6,3830.8,NaN,NaN,4177.2,NaN,4370.9,4521.5,4793.6,4946.2,5056.6,5237.1,5391.3,5549.7,NaN,NaN,5887.2,NaN,6078.6,6234.2,6408.8,6625.9,6749.8,6857.5,7060.6,7199.4,7311.4,7521.6,7674.7,7786.3,7973,8124.1,8285.7,8508.2,8638.1,8754,8964.9,9108.1,9221.8,9401,9557.2,9713.8,NaN,NaN,10051,NaN,10246
1725.5,1911.5,2058.2,2231,2521.4,2690.5,2857.3,3057,3269.2,3439.1,3611.4,3758.8,NaN,NaN,4084.6,NaN,4320.3,4468.1,4629.6,4867.7,5020.9,5177.1,5341.8,5486.2,NaN,NaN,5806.5,NaN,6035.5,6176.1,6333.8,6588.5,6699.7,6822.4,6982,7131.2,7273.5,7432.3,7590.6,7752.8,7905.5,8072.7,8218.3,8464.6,8581.2,8712.9,8874.5,9035.5,9184.9,9347,9504.2,9655.5,NaN,NaN,9973.7,NaN,10198,10313
