n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,d,m,p,n,e,c,x,d,m,p,a,b,c,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1816.4,1974,2127.2,2284,2413.8,2667.5,2857.4,2985.2,3190.2,3351.2,3477.5,3666.8,3821.5,3986.8,NaN,NaN,4318.9,NaN,4513.4,4669.5,4839.8,5056.3,5181,5296.9,5495.1,5645.2,5759.1,5940.4,6093.8,6251.4,NaN,NaN,6580.7,NaN,6775.3,6934.8,7101.6,7321,7448.2,7561.6,7747.8,7903.1,8068.3,NaN,NaN,8392.2,NaN,8590.8,8749,8918.1,9134.4,9257.6,9369,9564,9699.6,9813.1,9997.1,10159,10323,NaN,NaN,10661,NaN,10856,11012,11192,11407,11641,NaN,NaN,11986,12097,12274,12426,12592,NaN,NaN,12921,NaN,13116,13288,13407,13591,NaN,13789,13944,14112,14394,14546,14661,14850,NaN,15048,15208,15375,NaN,NaN,15735
1884.8,2047.8,2189.4,2356.3,2516.3,2735.1,2929.3,3098.1,3264.9,3418.9,3595.5,3768.9,3921.1,NaN,NaN,4242.4,NaN,4463.4,4613.3,4766.3,5019.8,5150.5,5258.2,5416,5570.9,5722.2,5875.1,6031.4,6193.1,NaN,NaN,6506.8,NaN,6724.8,6882.4,7032.5,7278.6,7395.5,7523.8,7682.7,7844.8,7999.3,NaN,NaN,8339.8,NaN,8539.1,8696.9,8845.4,9097,9209.6,9330,9485.9,9640,9775.8,9931.3,10108,10258,NaN,NaN,10580,NaN,10803,10955,11112,11366,11606,NaN,NaN,11911,12061,12216,12370,12526,NaN,NaN,12846,NaN,13065,13216,13367,13532,NaN,13740,13889,14044,14292,14471,14624,14783,NaN,14998,15152,15307,NaN,NaN,15631,15800
