n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c
1177.7,1797.3,1980.1,2134.5,3116.2,3282.2,3406.2,3640.6,3836.8,3955,4141.9,4292.3,4445.3,NaN,NaN,4766.1,NaN,4958.3,5107.4,5269,5548.2,5707.3,5817.5,6000.7,6151.8,6306.6,NaN,NaN,6637.2,NaN,6827.7,6979.2,7167.2,7380.5,7496.1,7618.2,7807.1,NaN,8002.5,8157.2,8332.6,8627.9,8770.9,8890.1,9072.3,NaN,9268.5
1234,1833.1,2051.7,2192.8,3181.7,3351.1,3515.2,3713.1,3903.3,4073.5,4241.4,4386.8,NaN,NaN,4694.6,NaN,4911.5,5056.9,5209.2,5449.6,5619.7,5780.9,5943.5,6096.1,6251.9,NaN,NaN,6568.2,NaN,6780.5,6931.4,7115.5,7342.3,7454.7,7579.3,7742.2,NaN,7956.1,8106.1,8256.8,8514.2,8707.8,8841.2,9008.6,NaN,9219.6,9382
