n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
4039.2,4231.2,4393.4,5459.1,5631.9,5746.9,6022.3,6185.7,6306.1,6497.5,6654.3,6805,NaN,NaN,7147.8,NaN,7349.6,7509.5,7679.9,7899.8,8032.6,8145.7,8357.1,8513.9,8630.9,8820.6,8975.4,9134.9,NaN,NaN,9477.6,NaN,9675.7,9831.9,9998.6,10220,10345,10458,10663,10806,10918,11109,11266,11437,NaN,NaN,11780,NaN,11977,12138,12315,12538,12667,12781,12965,NaN,13166,13329,13496,NaN,NaN,13833,NaN,14036,14199,14384,NaN,NaN,14724,NaN,14925,15089,15296,NaN,NaN,15658,15791,15905,16107,16288,16403,16622,NaN,16826,17054,17210,17327,17544,17685,17799,17988,18146,18318,NaN,NaN,18680,18846,18964,19153,NaN,19356,19520,19717,19936,20065,20180,20402,20561,20679,20872,21031,21208,NaN,NaN
4106.2,4291.9,4459.3,5533,5699.4,5856.3,6115.8,6262.2,6428.2,6601.7,6751,NaN,NaN,7061.6,NaN,7299.2,7455.7,7604.3,7863.4,7974.2,8108.7,8269.5,8443.6,8590.6,8754.5,8926.2,9077.5,NaN,NaN,9393.6,NaN,9625.4,9778.8,9942.3,10181,10304,10422,10579,10761,10881,11042,11215,11370,NaN,NaN,11702,NaN,11930,12082,12238,12498,12626,12740,12902,NaN,13116,13290,13444,NaN,NaN,13762,NaN,13982,14140,14313,NaN,NaN,14647,NaN,14874,15035,15195,NaN,NaN,15555,15730,15868,16029,16182,16365,16528,NaN,16772,16935,17129,17283,17454,17631,17758,17921,18090,18248,NaN,NaN,18578,18752,18926,19089,NaN,19302,19461,19630,19895,20009,20144,20305,20476,20640,20804,20973,21138,NaN,NaN,21472
