n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
2148.8,2334.6,3274.8,3452.1,3616.9,3793.4,3926.7,4229.4,4406.4,4530.3,4758.2,4934.3,5052,5228,5376.6,5533.3,NaN,NaN,5852.6,NaN,6045.2,6197.3,6354,6571.7,6697.9,6811.3,6991.7,7140.7,7297.9,NaN,NaN,7616.4,NaN,7807.6,7961,8128.8,8345.5,8468.2,8577,8775.2,8925.8,9036.3,9220.8,9373.6,9528.1,NaN,NaN,9850.2,NaN,10041
2206.7,2397.5,3333.6,3525.4,3686.8,3845.4,4028.6,4353.5,4472.7,4639.6,4827.2,5006.8,5166.5,5322.4,5472.1,NaN,NaN,5787.7,NaN,6001.7,6148.4,6293.2,6535,6644,6773.7,6930,7090.7,7238.9,NaN,NaN,7550.9,NaN,7760.1,7905.5,8056,8304.4,8416.7,8537.7,8693.9,8848.4,8999.8,9158.9,9318.4,9472.2,NaN,NaN,9778.8,NaN,9993.6,10107
