c,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c
1813.4,1972,2130.9,2283.9,2942.6,3084.4,3240.5,3400.1,3552.7,3836.7,4022.9,4159.5,4398.8,4596.3,4715.8,4902.4,5056.5,5214.9,NaN,NaN,5541.8,NaN,5739.1,5897.5,6066.1,6288,6527.4,6713.5,6872.6,7043.6,7272.9,7400.4,7517.5,7698.1,NaN,7895.9,8052.6,8238.5,NaN,NaN,8609.5,NaN,8807,8965.2,9146.3,9366.1,9493.6,9604.2,9792.5,NaN,9992.3,10159,10334,NaN,NaN,10707,10861,10976,11162,11318,11513,11729,11858,11973,12164,NaN,12363
1848.8,2035.4,2193,2337.1,2992.2,3170.7,3307.9,3466,3660.2,3905.8,4093.3,4269.6,4468.2,4669,4836,5000.6,5153.8,NaN,NaN,5467.7,NaN,5688.3,5832.5,5993.2,6246.1,6490,6667.1,6836.6,6981.1,7225.7,7345.1,7481.3,7640.2,NaN,7846.1,8012.4,8153.7,NaN,NaN,8489.3,NaN,8757.1,8912.4,9061.4,9324.2,9440.7,9571.8,9725.7,NaN,9943.2,10091,10261,NaN,NaN,10588,10775,10936,11099,11262,11416,11692,11805,11934,12097,NaN,12313,12458
