n,n,n,n,e,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c
1816.5,1977.7,2142.1,2326.6,2452,3533.4,3692.5,3840.2,3996.7,4125.8,4467.4,4656.3,4785.7,5009.8,5209.3,5337.6,5537.1,5692.2,5856.9,NaN,NaN,6198.3,NaN,6397.4,6554.8,6728.5,6948.1,7074.8,7189,7390.7,7540.5,7654.4,7841.3,7998.8,8160.5,NaN,NaN,8494,NaN,8693.2,8851,9021.7,9239.8,9371.4,9484.9,9691.3,9835.3,9950.4,10139,10295,10462,NaN,NaN,10812,10952,11069,11275,11420,11535,11723,11880,12044,12263,12384,12499,12707,12857,12971,13159,13313,13480,NaN,NaN,13829,13968,14086,14294,14443,14558,14742,14897,15069,15290,15420,15535,15727,NaN,15928,16090,16258,16479,16610,16725,16914,NaN,17110,17274,17450,NaN,NaN,17832,18007,18125,18316,NaN,18520,18679,18857,19081,19215,19331,19516,NaN,19720,19879,20048,NaN,NaN,20421,20578,20693,20905,21067,21184,21378,21534,21717,NaN,NaN,22065,NaN,22268,22438,22611,22834,22965,23083,23292,23438,23558,23763,NaN,23964,24133,24336,24560,24691,24809,25001,NaN,25209
1874.3,2047.8,2207.4,2390.4,2560.4,3593,3762.3,3913.3,4064.6,4232.1,4536.4,4726.6,4899.7,5088,5284.7,5457.1,5637,5790.8,NaN,NaN,6117.2,NaN,6345.3,6495.3,6654.5,6908.7,7040.3,7152.9,7307.7,7464.3,7620,7778.6,7948.2,8100.5,NaN,NaN,8416.2,NaN,8641.4,8798.9,8960.7,9200.1,9312.5,9445.3,9612.7,9765.2,9911.5,10073,10247,10397,NaN,NaN,10719,10885,11029,11195,11349,11497,11664,11828,11981,12225,12337,12469,12621,12779,12936,13096,13259,13412,NaN,NaN,13732,13900,14048,14208,14372,14522,14684,14837,14999,15251,15367,15499,15662,NaN,15876,16031,16189,16440,16555,16685,16850,NaN,17057,17216,17375,NaN,NaN,17709,17903,18087,18249,NaN,18463,18618,18782,19037,19153,19288,19454,NaN,19667,19829,19982,NaN,NaN,20317,20494,20656,20817,20979,21145,21305,21478,21638,NaN,NaN,21977,NaN,22210,22367,22538,22791,22906,23042,23207,23366,23514,23680,NaN,23908,24068,24237,24520,24635,24765,24936,NaN,25153,25292
