n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
5748.2,6310.7,6454.7,6568.9,6839.5,7008.7,7128.4,7378.6,7561.2,7705.9,8148.5,8313,8432.1,8630.8,8780.2,8929.3,NaN,NaN,9255.3,NaN,9450.1,9600.2,9766.9,9978.3,10101,10213,10427,10608,10722,10900,11052,11211,NaN,NaN,11547,NaN,11739,11896
5791.5,6360.1,6532.9,6666.1,6910.9,7075.8,7236.9,7452.1,7632.5,7815.2,8223.4,8384.4,8556.1,8730.2,8874.9,NaN,NaN,9184.1,NaN,9401.7,9554,9695.2,9945.2,10060,10175,10335,10497,10679,10838,11001,11152,NaN,NaN,11466,NaN,11694,11848,11995
