n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,a,b,c,n
1829.2,1976.8,2132.4,2286.6,2405.8,2643.6,2815.5,2940.3,3138.1,3294,3456.6,NaN,NaN,3793.2,NaN,3992.2,4150.2,4318.9,4545.2,4675.1,4789.1,4978.1,NaN,5177.7,5338.2,5506.6,NaN,NaN,5843.9,NaN,6045.1,6208.9,6380.5,6605.3,6731.9,6845.5,7050.5,7195.5,7312.4,7493.4,NaN,7693.4,7855.9,8026.6,8253.5,8386.7,8501.3,8712.2,8854.2,8967.5,9152.2,9310.9,9473.6,NaN,NaN,9806.2,NaN,10006,10167,10390,NaN,NaN,10755,10895,11011,11192,11352,11524,NaN,NaN,11887,12030,12144,12332,NaN,12535,12700
1877.5,2061.2,2208,2350.1,2517.6,2713.2,2882.7,3063.8,3244.6,3394.7,NaN,NaN,3714.9,NaN,3939.7,4098.5,4255.4,4498.4,4618,4749.2,4914.1,NaN,5127.2,5288.2,5434.7,NaN,NaN,5769.7,NaN,5993.4,6150.5,6322.4,6564.1,6681.2,6812.3,6968.2,7126,7267.5,7438.6,NaN,7643.2,7821.2,7966.7,8211.4,8344.5,8460.3,8623.9,8785.8,8930.8,9091.4,9274.6,9421.2,NaN,NaN,9730.3,NaN,9955.2,10136,10289,NaN,NaN,10649,10828,10972,11143,11314,11473,NaN,NaN,11785,11957,12105,12266,NaN,12483,12643,12748
