n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1970,2124.5,2301.7,2435.6,2891.4,3070.4,3194.7,3405.8,3572.1,3694.8,3882.7,4034.2,4195.2,NaN,NaN,4532.1,NaN,4726.4,4880.7,5050.8,5267.1,5389.9,5501.2,5701.8,5845.5,5956.4,6133.1,6285.2,6449.7,NaN,NaN,6787.8,NaN,6979.6,7133.9,7315.1,7528.7,7657.1,7767.2,7939.4,NaN,8134,8290.6,8492.2,NaN,NaN,8868.5
2034.4,2196.2,2361.4,2536.5,2959.2,3140.4,3313.5,3477.8,3648.3,3813.9,3987.2,4130.6,NaN,NaN,4451.8,NaN,4680,4824.9,4979.5,5223,5340.2,5467.5,5625.8,5774.9,5917.8,6063.8,6238.8,6382.8,NaN,NaN,6707.2,NaN,6933.9,7083.2,7232.7,7490.4,7603.5,7730.5,7884,NaN,8084,8239.4,8391.1,NaN,NaN,8736.5,8939.7
