n,n,n,n,e,n,e,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,n,n,e
1856.4,1977.6,2125.6,2281.2,2419.2,2704.2,2816.4,2997.3,3191.1,3342.1,3510.2,3598.1,3840.7,NaN,4036.6,4187.3,4372.8,4595.7,4725.1,4837.7,5035.2,5171.7,5285.7,5470.7,5619.9,5839.8,5926.9,6174.6,NaN,6371.5,6663.3,6829.3,6941.8
1904.5,2041.4,2189.9,2344.6,2527.4,2784.9,2938.2,3112.9,3286,3433.8,3571.1,3754.4,NaN,3986.1,4135.8,4287.2,4546.7,4657.9,4801.4,4953.1,5105.9,5245.5,5405.8,5567.3,5720.6,5902.9,6078.5,NaN,6322.2,6475,6731.8,6902.7,7047
