n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,n,e,a,b,c,x,n
2744.3,2941.6,3075.5,3351.8,3525.7,3653.6,3872.2,4045.1,4163.9,4361.1,4519.8,4678.6,NaN,NaN,5023.6,NaN,5224.7,5382.4,5558.7,5786.7,5921.6,6035.5,6248.5,6394.2,6511.6,6699.1,6857.8,7027.9,NaN,NaN,7366.3,NaN,7566.2,7725.3,7900.9,8190.8,8343.4,8454.9,8646.6,8807.8,8979.4,NaN,NaN,9316.7,NaN,9515.8,9690.6,9875.7,10100,10230,10344,10556,10700,10813,11029,11173,11286,11477,11635,11810,12036,12168,12284,12463,NaN,12665,12825,13007,NaN,NaN,13376,13538,13652,13853,14012,14192,14417,14583,14762,14877,15077,NaN,15276,15445,15649
2823.6,3009.5,3188.8,3428.4,3595.8,3775.8,3949.5,4125.6,4291.1,4470.5,4622.2,NaN,NaN,4946.2,NaN,5175.2,5325.1,5502.2,5745.1,5863.8,5999,6179.8,6330.5,6469.6,6634.7,6821.8,6960.1,NaN,NaN,7289,NaN,7517.2,7689.4,7829.8,8086.1,8265.9,8424.8,8589.7,8772.9,8925.7,NaN,NaN,9252.6,NaN,9468.3,9646.4,9806.1,10064,10197,10314,10473,10632,10779,10929,11104,11250,11422,11602,11740,11994,12128,12245,12400,NaN,12616,12788,12951,NaN,NaN,13269,13451,13622,13780,13962,14135,14379,14477,14657,14842,15008,NaN,15229,15390,15550,15724
