-,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,n
1042.9,1979.1,2151.2,2300.2,2889.9,3065.8,3186.7,3398.7,3580.9,3721.8,3915.1,4067.4,4230,NaN,NaN,4584.9,NaN,4780.8,4934,5103.8,5321.7,5453.3,5567.5,5781.1,5937.3,6049,6243.2,6395.4,6555.3,NaN,NaN,6889.9,NaN,7085.1,7240.7,7403.9,7623.9,7839.4,7984.4,8094.5,8306.6,8451.2,8563.8,8743.9,8898.8,9057.1,NaN,NaN,9396.1,NaN,9593.4,9746.7,9916.3,10137,10267,10380,10583,10728,10840,11022,NaN,11216,11374,11552,11783,11912,12027,12216,NaN,12414,12572,12773
1096.9,2047.7,2217.3,2404.8,2964.7,3132.5,3297.4,3473.6,3652.6,3840.5,4019.7,4164.7,NaN,NaN,4484.7,NaN,4730.6,4880.1,5034.1,5285.3,5394.7,5533.5,5690.4,5852.4,6019.7,6165.3,6346,6493.9,NaN,NaN,6811.2,NaN,7037.4,7185.4,7341.4,7589.4,7699.3,7911,8062.7,8217.7,8383.4,8527.8,8685.5,8843.7,8995.4,NaN,NaN,9316.7,NaN,9544.5,9693.9,9844.2,10096,10211,10342,10506,10658,10808,10963,NaN,11171,11324,11474,11735,11858,11993,12151,NaN,12366,12511,12673,12909
