-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1981.2,2772.6,2945,3079.2,3329.7,3504.1,3622.9,3809.3,3958.9,4115.3,NaN,NaN,4502,NaN,4694.4,4845.2,5020.3,5232.9,5359.5,5475.9,5677.5,5813.3,5925,6107.3,6260.3,6419.2,NaN,NaN,6746.8,NaN,6942.6,7097,7261.9,7476.7,7602.2,7713.9,7918.8,8057.6,8168.7,8353.8,NaN,8551.1,8707.2,8900.2,NaN,NaN,9240.6,NaN,9437,9595.8,9772.3,9992.3,10119,10236,10457
2054.5,2846.2,3016.2,3190.1,3408.2,3583.9,3743.8,3905.2,4056.6,NaN,NaN,4367.6,NaN,4648.4,4794.2,4942.7,5195.4,5305.2,5430.4,5588.7,5765.4,5885.4,6041.9,6207.9,6355.6,NaN,NaN,6673.5,NaN,6889.8,7041.6,7191.5,7441,7550.7,7677.9,7839.4,8017.1,8133.9,8289.9,NaN,8501.8,8653.8,8803,NaN,NaN,9159.2,NaN,9382.8,9543.3,9693.2,9951.4,10062,10195,10358,10529
