n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,q,r,n,n,e,n,n,e,c,x,d,m,p
1194.8,1830.8,1978.5,2156.2,2451.9,2765.1,2948.3,3063.3,3300.7,3466.5,3585.9,3821.9,3971.6,4133.2,NaN,NaN,4472.3,NaN,4667.2,4822.8,5001.3,5078.2,6115.5,6280.2,6413.5,6642,6806.9,6925.2,7113.6,7265.2,7422.7,NaN,NaN
1234.7,1871.3,2057.2,2223.6,2518.9,2837.2,3011,3171.2,3396.2,3541.7,3699.6,3919.3,4067.7,NaN,NaN,4384.2,NaN,4618,4767.9,4917.2,5043.2,5115,6190.7,6352.4,6525.4,6712.6,6885.5,7044.9,7210.5,7361.5,NaN,NaN,7670.8
