n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,n,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,n
1677.9,1834.5,1986.8,2160.8,2306.2,2622,2820.5,2950.5,3195.3,3388.8,3517.8,3739.9,3898.8,4022.5,4218.7,4376.8,4534.9,NaN,NaN,4893.9,NaN,5096.8,5263.9,5455.2,5679.5,5812.6,5944.7,6185.8,6339.9,6461.8,6654.3,6813.2,6979.5,NaN,NaN,7327.3,NaN,7529.6,7692.8,7868.8,8099.6,8226.9,8343.2,8545.9,8699.3,8814.5,9014.1,9170.5,9377.5,NaN,NaN,9712.1,NaN,9913.9,10077,10250,NaN,NaN,10588,NaN,10789,10958,11104,11242,11358,11550,11712,11910,NaN,NaN,12272,12494,12629,12819,NaN,13023,13186,13368,13597,13731,13859,14053,NaN,14260,14431,14617,14839,14971,15088,15326,15465,15585,15777,NaN,15983,16156,16369,NaN,NaN,16755,16980,17100,17305,17463,17657,17889,18025,18140,18329,NaN,18540,18796
1738,1909.8,2055.8,2222.1,2413,2687.6,2891,3060.8,3263.7,3459.3,3639.2,3812.2,3970.7,4147.8,4322.3,4476.5,NaN,NaN,4798.5,NaN,5044,5210.4,5363.2,5633.7,5751.8,5888.9,6066.9,6259.2,6417.5,6585.2,6761.1,6913.6,NaN,NaN,7236.8,NaN,7477.7,7635.5,7795.7,8057,8176.5,8302.6,8469.4,8625.6,8778,8938.3,9118.2,9268.2,NaN,NaN,9640,NaN,9864.2,10027,10178,NaN,NaN,10510,NaN,10736,10894,11015,11177,11321,11481,11660,11812,NaN,NaN,12176,12345,12569,12753,NaN,12976,13136,13286,13550,13668,13810,13984,NaN,14206,14364,14531,14801,14916,15047,15211,15410,15542,15709,NaN,15932,16087,16257,NaN,NaN,16634,16824,17059,17223,17409,17566,17843,17967,18103,18265,NaN,18481,18625,18864
