n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e
1803.9,1985.8,2284.8,2663,2819.5,2947.6,3153.9,3331.2,3454.8,3650.2,3796.3,3956.8,NaN,NaN,4291,NaN,4480.9,4633.6,5222.9,5374.8,5483.9,5681.9,5831.8,5984.7,NaN,NaN,6305,NaN,6497.1,6649.2,6816.9,7032.3,7153.3,7260.7,7450.3,7598.8,7761.2,NaN,NaN,8093.2,NaN,8290.8,8445.6,8620.3,8831.5,8962.6,9074.4,9264.9,9416.3,9580.5,NaN,NaN,9913.8,NaN,10107,10264,10436,10651,10777,10894,11092,11242,11349,11559,11699,11810
1864.7,2045.5,2353.6,2757.9,2890,3062.6,3224,3404.5,3567.9,3746.1,3895.1,NaN,NaN,4203.3,NaN,4434.7,4578.9,4726.4,5293.5,5450.3,5600.7,5784,5926.6,NaN,NaN,6239.7,NaN,6450.8,6602.2,6744.6,6989.1,7102.9,7224.4,7378.6,7552.3,7696.6,NaN,NaN,8023.5,NaN,8246,8405.7,8553.7,8789.2,8899.6,9036.7,9198.8,9366.5,9509.7,NaN,NaN,9829.7,NaN,10056,10207,10360,10609,10743,10850,11012,11158,11318,11469,11632,11774,11928
