n,n,n,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g
1836.7,1973.8,2116.4,2375.5,2555,2679.8,2908.8,3123.6,3251.3,3540,3829.4,3980.9,4098.2,4283.9,4439.9,4595.9,NaN,NaN,4944.5,NaN,5144.4,5303.6,5488.9,5712,5839.8,5952.8,6160.3,6303.7,6418.5,6610.6,6768.9,6926.8,NaN,NaN,7354.7,7528.7,7642,7838.2,7995.8,8172.5,8395.2,8529.9,8644.8,8833.2,NaN,9034.1,9196.1,9378.5
1884.9,2048.8,2181.7,2447.2,2624.7,2786.5,2977.7,3194.9,3369.2,3611.7,3903,4055.5,4224.3,4385.1,4538.8,NaN,NaN,4861.4,NaN,5094.5,5246.9,5412.8,5674.3,5785.6,5919,6080.4,6233.3,6381,6538.2,6716,6872.8,NaN,NaN,7193.5,7423.3,7609.4,7754,7947.1,8096,8358,8468.8,8608.6,8773.9,NaN,8985.2,9135.7,9303.5,9554.8
