n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
1827.6,1968,2129.2,2462.9,2631.7,2751.6,2972,3155.5,3263,3468.4,3617.7,3771.5,NaN,NaN,4101.4,NaN,4298.3,4451.8,4633.7,4851.4,4979.3,5092.3,5276.7,5428.2,5588,NaN,NaN,5918,NaN,6111.2,6266,6436.7,6664.9,6811.7,6944.2,7055.5,7236.7,7387.9,7551.3,NaN,NaN,7878.5,NaN,8074.1,8233.4,8411,8630.7,8749.4,8860.4,9062.1,9205.2,9319.4
1891,2037.9,2187,2529.7,2700.2,2858.2,3040.5,3231.2,3384.3,3569.1,3713.1,NaN,NaN,4027.2,NaN,4248.7,4400.7,4547.8,4809.9,4921.3,5055.3,5211.4,5379.1,5527,NaN,NaN,5841.3,NaN,6062.7,6213.7,6363.7,6613.7,6712.9,6879.6,7019.6,7172.7,7335.2,7484.2,NaN,NaN,7806.6,NaN,8018.8,8171.2,8331.1,8587.8,8699.4,8823.5,8980.3,9135,9280.8,9439.2
