n,n,n,n,e,n,n,e,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g
1703.8,1830.8,1983.3,2161.1,2314.2,2604.1,2827.5,2962.7,3211.7,3419.6,4408.3,4688.8,4895.8,5022.4,5237.8,5369.3,5507.5,5697.7,5849.3,6003.5,NaN,NaN,6355.4,NaN,6547,6700.4,6877,7101.9,7225.7,7337.9,7531.5,7683.8,7848.1,NaN,NaN,8170.6,NaN,8363.3,8522,8707.3,8925.4,9054.4,9165.6,9371.1,9527.6,9636,9818.9,9970.6,10133,NaN,NaN,10467,NaN,10662,10820,10993,11206,11339,11452,11694,11891,12017,12222,12395,12508,12689,12842,13032,NaN,NaN,13395,13541,13652,13834,NaN,14029,14186,14376
1744.8,1894.7,2049.1,2226,2414.5,2672.2,2895.5,3070,3279.1,3485,4517.8,4762.4,4963.4,5132.4,5307.6,5462.6,5623.5,5801.5,5946.7,NaN,NaN,6255.9,NaN,6500.8,6649.5,6798,7054.3,7172.4,7299.2,7456.6,7633.3,7784.2,NaN,NaN,8101.6,NaN,8314.3,8460.4,8618.7,8885.7,8999.9,9125.7,9286.9,9441.6,9603.8,9761.6,9921,10080,NaN,NaN,10394,NaN,10614,10771,10929,11169,11281,11414,11574,11763,11966,12134,12295,12470,12626,12786,12942,NaN,NaN,13287,13465,13613,13774,NaN,13982,14128,14295,14557
