n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1853.9,1983.2,2138.1,2305,2453,3005.5,3158.1,3290.8,3521,3708,3826.9,4024.3,4175.3,4326.5,NaN,NaN,4670.4,NaN,4871.9,5025.2,5192.1,5414.3,5543.3,5655.8,5852.2,6005.4,6115.8,6312.4,6462.2,6620.9,NaN,NaN,6961.9,NaN,7158.4,7313.6,7480.7,7824.2,7963.8,8077.2,8259.5,8413.5,8573.4,NaN,NaN,8899,NaN,9094.6,9248.5,9432.8,9649.4,9775.2,9889.2,10084,10224,10333,10538,10678,10789,10979,11133,11293,NaN,NaN,11673,11822,11939,12141,12291,12406,12591,12744,12913,NaN,NaN,13258,NaN,13455,13615,13786,14094,14306,14415,14600,NaN,14795,14959,15176,NaN,NaN,15538
1907.1,2058.8,2204.7,2366.1,2558.5,3095.3,3230.9,3403.9,3595.2,3783.4,3946.5,4126,4272.8,NaN,NaN,4580.8,NaN,4818.7,4978.2,5122.9,5367.3,5487.3,5619.5,5775.8,5924.8,6080.5,6236.2,6407.1,6563.8,NaN,NaN,6876.7,NaN,7111,7259.1,7410.6,7660.1,7896.7,8042.3,8199.4,8365.1,8513.1,NaN,NaN,8824.7,NaN,9044.5,9198,9348.6,9613.9,9738.2,9849.8,10011,10156,10302,10456,10610,10753,10907,11084,11241,NaN,NaN,11543,11753,11899,12061,12217,12368,12527,12694,12844,NaN,NaN,13168,NaN,13405,13555,13713,13965,14167,14382,14536,NaN,14749,14905,15056,NaN,NaN,15427,15606
