n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m
1978.3,2141.4,2276,2496.9,2715.8,2842.9,3047.8,3245.7,3358.5,3544.8,3693.9,3850.5,NaN,NaN,4177.6,NaN,4367.5,4520.6,4678.6,4891.5,5019.6,5130.1,5315,5464.8,5621.2,5712.2
2044.3,2204.7,2379.2,2565,2783.4,2955.4,3116.6,3322.1,3475.9,3634.6,3790.3,NaN,NaN,4101.5,NaN,4324.2,4473.3,4622.7,4859.8,4963.7,5094.8,5249.5,5415.5,5562.7,5684.9,5768.9
