n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n
4724.5,4865.8,5017.7,5184.2,5306.1,5582.5,5716.3,5877.7,6081.1,6221.4,6337.5,6549,6698.2,6845.3,NaN,NaN,7158.3,NaN,7348.5,7496.2,7657.4,7870,7989,8097,8275.4,8425.1,8578.5,NaN,NaN,8890.9,NaN,9081.7,9234.5,9398.8,9609.7,9734.2,9843.4,10021,10172,10328,NaN,NaN,10650,NaN,10842,10993,11163,11373,11494,11601,11778,NaN,11970,12126,12294,NaN,NaN,12657,12791,12898,13090,13220,13330,13510,13662,13834,NaN,NaN,14188,14328,14442,14627,NaN,14822,14978,15166,15384,15512,15624,15820
4766.3,4932.4,5084.7,5258.6,5408.8,5671.9,5837.2,5992.8,6152.3,6296,6453,6653.5,6796,NaN,NaN,7097.7,NaN,7303.3,7444.6,7590.2,7832.8,7941.3,8065.1,8216.1,8377.8,8526.8,NaN,NaN,8842.2,NaN,9034.7,9185,9328.1,9574.2,9696.1,9812.1,9964.1,10126,10267,NaN,NaN,10578,NaN,10796,10933,11089,11338,11445,11567,11722,NaN,11923,12074,12220,NaN,NaN,12542,12724,12863,13009,13159,13303,13436,13611,13756,NaN,NaN,14087,14256,14403,14563,NaN,14772,14921,15076,15340,15475,15587,15744,15890
