n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1991.2,2161.6,2288.1,2577.3,2777.8,2903.3,3161.8,3361.1,3483.5,3679.1,3836,3993.5,NaN,NaN,4343,NaN,4544.3,4705.9,4875.1,5096.2,5225.6,5350.3,5566.9,6136.2,6303.2,6420.8,6638.9,6795.3,6953.2,NaN,NaN,7314.2,NaN,7513.9,7672,7840.2,8059.7,8184.3,8300.3,8514.6,8673.9,8794.1,8986.7,9141.8,9312.9,NaN,NaN,9644.3,NaN,9846.3,10009,10214,10433,10562,10675,10856,11501,11646,11791,11905,12094,12252,12418,NaN,NaN,12749,NaN,12949,13110,13282,13502,13631,13746,13941,NaN,14142,14305,14472,14698,14825,14938,15130,NaN,15333,15495,15692,NaN,NaN,16066
2063.2,2229.6,2398.8,2646.4,2860.1,3013.9,3233.4,3439.6,3603.1,3782.7,3933.6,NaN,NaN,4248.4,NaN,4491.6,4653.6,4803.5,5055.4,5170.9,5303.4,5473.5,5639.9,6209.7,6382.3,6539.2,6739.8,6893.4,NaN,NaN,7210.4,NaN,7463,7620.4,7773.4,8021.8,8133.9,8262.3,8419.9,8602.9,8753,8909.3,9086,9241.9,NaN,NaN,9572.3,NaN,9794.3,9956.3,10107,10391,10512,10639,10800,11002,11537,11722,11872,12028,12190,12359,NaN,NaN,12677,NaN,12903,13052,13220,13460,13590,13710,13870,NaN,14091,14248,14410,14654,14775,14904,15063,NaN,15281,15431,15599,NaN,NaN,15948,16139
