n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1824.5,1984.7,2167.3,3625.4,3785.5,3914,4211.1,4399.7,4525.7,4718.5,4874.7,5037.4,NaN,NaN,5381.1,NaN,5579.8,5737.9,5915.9,6134.4,6258.7,6374.5,6587.5,6736.4,6851.4,7039.5,7195.2,7358.8,NaN,NaN,7700.2,NaN,7896.2,8059.1,8221.5,8441.2,8568.9,8683.1,8883.6,9029.6,9142.2,9350.4,9504.8,9620.6,9806.6,9962.2,10142,NaN,NaN,10482,NaN,10677,10838,11010,11237,11362,11475,11670,NaN,11867,12030,12207,NaN,NaN,12574
1895.2,2043.6,2206.5,3709.7,3858.2,4023.2,4281.4,4475.6,4644.8,4819.8,4971.9,NaN,NaN,5290.4,NaN,5527.9,5678.6,5835.7,6092.7,6205.5,6331.9,6497.8,6659.8,6812.7,6972.8,7142.1,7293.7,NaN,NaN,7619.7,NaN,7846,8006.8,8153.3,8401.2,8515.4,8647,8802.8,8956.8,9106,9261.3,9423.5,9581.7,9744.2,9908.2,10063,NaN,NaN,10398,NaN,10628,10782,10938,11194,11308,11437,11598,NaN,11818,11976,12127,NaN,NaN,12466,12642
