n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
6129.2,6259.7,6407.5,6623.3,6795.4,6910.7,7094.2,7242.7,7407,NaN,NaN,7741.4,NaN,7903.2,8086.3,8257.6,8467.9,8587.4,8696.3,8872.1,9023.9,9172.5,NaN,NaN,9488.4,NaN,9680.4,9835.8,9988.8,10201,10322,10433,10624,10761,10869,11056,11209,11366,NaN,NaN,11690,NaN,11884
6195.4,6351.6,6515.1,6692.2,6867.2,7025.7,7197.4,7336.7,NaN,NaN,7645,NaN,7870.9,8039.6,8179.9,8431.8,8536.8,8658.5,8802.4,8989.9,9118.7,NaN,NaN,9424.2,NaN,9632.2,9782.5,9927.7,10165,10289,10397,10552,10697,10835,10992,11173,11306,NaN,NaN,11619,NaN,11832,11978
