n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n
2729.6,2905.7,3025.3,3255.8,3423.7,3551.7,3741.6,3889.6,4058.1,NaN,NaN,4373.8,NaN,4568.8,4721.4,4888,5102.8,5220.2,5330.7,5534.2,5674.3,5787.7,5973,6122.8,6283.2,NaN,NaN,6602.6,NaN,6794.5,6957.3,7123.9,7335.1,7457.4,7564.9,7771.8,7907.9,8022.1,8255.8,8427.7,8555.7,8790.8,8952.6,9065.8,9251.2,9401.5,9568.8,NaN,NaN,9899.5,NaN,10093,10265,10382,10561,NaN,10754,10915,11078,11295,11417,11528,11731,11884,11997,12178,12329,12492,NaN,NaN,12820,NaN,13015,13176,13374,NaN,NaN,13744,13912,14031,14249
2805.1,2972.3,3134.3,3347.4,3495.6,3669.6,3836,3984.9,NaN,NaN,4313.3,NaN,4517.3,4667.2,4813.7,5059.3,5171.8,5294.1,5450.2,5602.5,5750.9,5908.2,6071,6219.8,NaN,NaN,6537.1,NaN,6746,6897,7054.2,7298.9,7405.5,7530.3,7684.6,7838.7,7984.7,8142.2,8327.1,8502.1,8675.3,8861,9029.5,9183.9,9351.5,9498.3,NaN,NaN,9829.3,NaN,10044,10191,10339,10498,NaN,10708,10851,11010,11256,11363,11489,11648,11799,11964,12114,12276,12428,NaN,NaN,12745,NaN,12966,13114,13271,NaN,NaN,13626,13811,13987,14155,14318
